Parameter,Symbol,Value,Unit,Uncertainty,Source
Orbital period,P,2.47061355,days,±0.000000041,TEPCat (2025). :contentReference[oaicite:1]{index=1}
Mid-transit epoch,T0,2453957.635381,BJD/HJD,±0.000020,TEPCat (2025). :contentReference[oaicite:2]{index=2}
Transit duration (total),T14,0.07451,days,—,TEPCat (2025) (≈1.7882 hours). :contentReference[oaicite:3]{index=3}
Transit duration (total),T14,1.7882,hours,—,Converted (TEPCat). :contentReference[oaicite:4]{index=4}
Transit depth,δ,0.01545,dimensionless (≈1.545%),—,Computed from Rp/R★ (see below) and consistent with TEPCat 1.5%. :contentReference[oaicite:5]{index=5}
Inclination,i,83.86,degrees,—,Exo.MAST / literature summary. :contentReference[oaicite:6]{index=6}
Impact parameter,b,~0.45,dimensionless,—,Derived / literature-dependent (see detailed studies). :contentReference[oaicite:7]{index=7}
Scaled semi-major axis,a/R★,~7.2,dimensionless,—,Literature / catalog dependent (use chosen paper for exact). :contentReference[oaicite:8]{index=8}
Eccentricity,e,0.0,dimensionless,—,TEPCat (assumed circular). :contentReference[oaicite:9]{index=9}
Planet-to-star radius ratio,Rp/R★,0.12431,dimensionless,±0.0024 (propagated from radii),Computed from TEPCat radii (Rp = 1.193 R_J, R★ = 0.964 R_☉). :contentReference[oaicite:10]{index=10}
Planet radius,Rp,1.193,R_Jupiter,±0.023,TEPCat (2025). :contentReference[oaicite:11]{index=11}
Stellar radius,R★,0.964,R_Sun,±0.018,TEPCat (2025). :contentReference[oaicite:12]{index=12}
