Parameter,Symbol,Value,Unit,Uncertainty,Source
Orbital period,P,1.091419487,days,±0.000000020,TEPCat (2025). :contentReference[oaicite:1]{index=1}
Mid-transit epoch,T0,2454508.978942,BJD/HJD,±0.000047,TEPCat (2025). :contentReference[oaicite:2]{index=2}
Transit duration (total),T14,0.12483,days,—,TEPCat (2025). :contentReference[oaicite:3]{index=3}
Transit duration (total),T14,2.99592,hours,—,Converted from TEPCat (0.12483 d). :contentReference[oaicite:4]{index=4}
Transit depth,δ,0.016,dimensionless (≈1.6%),,—,TEPCat (catalog listed). :contentReference[oaicite:5]{index=5}
Planet-to-star radius ratio,Rp/R★,0.1168,dimensionless,≈(computed from Rp and R★ in TEPCat),Computed from TEPCat Rp=1.965 R_J and R★=1.690 R_☉. :contentReference[oaicite:6]{index=6}
Impact parameter,b,—,dimensionless,—,Not listed explicitly on TEPCat summary (see detailed study). :contentReference[oaicite:7]{index=7}
Inclination,i,—,degrees,—,Not listed explicitly on TEPCat summary (see detailed study). :contentReference[oaicite:8]{index=8}
Scaled semi-major axis,a/R★,—,dimensionless,—,Not listed explicitly on TEPCat summary (see detailed study). :contentReference[oaicite:9]{index=9}
Eccentricity,e,0.0,dimensionless,+0.053/−0.0,TEPCat (2025). :contentReference[oaicite:10]{index=10}
Planet radius,Rp,1.965,R_Jupiter,+0.088/−0.087,TEPCat (2025). :contentReference[oaicite:11]{index=11}
Stellar radius,R★,1.690,R_Sun,+0.019/−0.018,TEPCat (2025). :contentReference[oaicite:12]{index=12}
Notes, ,WASP-12 b has been the subject of many follow-ups (atmosphere, possible orbital decay/TTVs); see TESS re-analyses and recent ephemeris updates. , ,Wong et al. (2022) / various follow-ups. :contentReference[oaicite:13]{index=13}
